,time,G0-A_qload,G0-A_pload,G0-M_qload,G0-M_pload,G3-A_qload,G3-A_pload,G3-M_qload,G3-M_pload,L0-A_qload,L0-A_pload,L2-M_qload,L2-M_pload,lv_rural1_qload,lv_rural1_pload,lv_rural2_qload,lv_rural2_pload,lv_rural3_qload,lv_rural3_pload,lv_semiurb4_pload,lv_semiurb4_qload
19,01.01.2016 19:00,0.402408,0.216567,0.44116400000000006,0.274359,0.15672,0.36294299999999996,0.321669,0.465116,0.822473,0.39950399999999997,0.336777,0.277442,0.496846,0.639846,0.063783,0.23505399999999999,0.049745,0.244083,0.234183,0.106358
20,01.01.2016 20:00,0.376722,0.204792,0.434676,0.265385,0.207494,0.366288,0.321669,0.44186000000000003,0.747132,0.334988,0.357552,0.261452,0.547666,0.573784,0.12136199999999998,0.222158,0.124734,0.22156399999999998,0.226662,0.11367000000000001
21,01.01.2016 21:00,0.316789,0.167569,0.398993,0.255128,0.186169,0.344482,0.325592,0.44031000000000003,0.552501,0.585608,0.31709499999999996,0.254105,0.5347930000000001,0.49673199999999995,0.05358400000000001,0.1942,0.046185000000000004,0.188582,0.197226,0.08289500000000001
22,01.01.2016 22:00,0.364051,0.19626400000000002,0.398993,0.253846,0.182107,0.371237,0.325592,0.432558,0.364148,0.218362,0.336777,0.21478000000000003,0.465524,0.47385299999999997,0.16609000000000002,0.188593,0.159467,0.18953299999999998,0.18323499999999998,0.205896
23,01.01.2016 23:00,0.385284,0.201408,0.444407,0.273077,0.207494,0.393043,0.25105900000000003,0.41395299999999996,0.370427,0.23325100000000001,0.336777,0.209162,0.362478,0.318331,0.05450700000000001,0.155166,0.033027999999999995,0.14432,0.163493,0.085977
24,02.01.2016 00:00,0.44521700000000003,0.225095,0.473602,0.280769,0.13133399999999998,0.314381,0.176526,0.382946,0.282529,0.2134,0.31709499999999996,0.205704,0.363958,0.260829,0.045654,0.128601,0.028211,0.117423,0.144926,0.078048
25,02.01.2016 01:00,0.355489,0.17596099999999998,0.5092840000000001,0.287179,0.126933,0.32106999999999997,0.184371,0.386047,0.244858,0.176179,0.360833,0.220398,0.334296,0.22273099999999998,0.051942999999999996,0.105228,0.041316000000000005,0.08315399999999999,0.12806099999999998,0.076138
26,02.01.2016 02:00,0.351036,0.179345,0.386018,0.24615399999999998,0.186169,0.292709,0.180449,0.376744,0.23230100000000004,0.163772,0.15198699999999998,0.160761,0.306931,0.186101,0.10636199999999998,0.086772,0.10282999999999999,0.070386,0.119451,0.07258300000000001
27,02.01.2016 03:00,0.40686,0.218327,0.46062700000000006,0.280769,0.06769800000000001,0.331104,0.164757,0.368992,0.226023,0.16625299999999998,0.156361,0.158168,0.27318600000000004,0.186813,0.0528,0.074486,0.051639,0.061061000000000004,0.091562,0.071578
28,02.01.2016 04:00,0.39384600000000003,0.204792,0.389262,0.252564,0.169244,0.29097,0.16868,0.368992,0.307642,0.186104,0.134492,0.150821,0.27381700000000003,0.186354,0.028789,0.072814,0.017814,0.063765,0.09980399999999999,0.038925
29,02.01.2016 05:00,0.325351,0.170953,0.46387,0.274359,0.258267,0.347826,0.156912,0.370543,0.351591,0.198511,0.14761300000000002,0.155143,0.291206,0.192626,0.034953,0.08430399999999999,0.015006,0.066929,0.096059,0.061591
30,02.01.2016 06:00,0.38117399999999996,0.208175,0.42494399999999993,0.26410300000000003,0.15232,0.279331,0.192217,0.38914699999999997,0.313921,0.19106700000000001,0.36739299999999997,0.221262,0.33615700000000004,0.18924000000000002,0.064554,0.07757,0.054476,0.067245,0.10791700000000001,0.070627
31,02.01.2016 07:00,0.41097,0.263942,0.42494399999999993,0.271795,0.118471,0.32106999999999997,0.368743,0.44341099999999994,0.772245,0.35235700000000003,0.352085,0.22299000000000002,0.364105,0.366858,0.044003,0.105156,0.039785,0.10595399999999999,0.118274,0.079814
32,02.01.2016 08:00,0.385284,0.445046,0.382774,0.25,0.220018,0.354515,0.37658800000000003,0.449612,0.904092,0.53598,0.353179,0.226448,0.41799899999999995,0.49769399999999997,0.116468,0.144368,0.126315,0.15479,0.189643,0.155881
33,02.01.2016 09:00,0.316789,0.504196,0.450895,0.287179,0.270791,0.536856,0.392279,0.474419,0.828751,0.49379700000000004,0.314909,0.22515100000000002,0.510772,0.46708999999999995,0.057094000000000006,0.139342,0.03416,0.122642,0.202727,0.106206
34,02.01.2016 10:00,0.389736,0.456822,0.382774,0.24487199999999998,0.334427,0.42140500000000003,0.24713600000000002,0.45891499999999996,0.816194,0.704715,0.349898,0.23941199999999999,0.507508,0.46529499999999996,0.073956,0.20936,0.053051,0.217259,0.255079,0.141232
35,02.01.2016 11:00,0.41953100000000004,0.47374099999999997,0.470358,0.279487,0.338489,0.45819399999999993,0.243213,0.499225,0.828751,0.43920600000000004,0.323656,0.258859,0.5490229999999999,0.5715359999999999,0.091401,0.21624200000000002,0.076489,0.235922,0.24427100000000002,0.121429
36,02.01.2016 12:00,0.402408,0.577017,0.39575,0.25640999999999997,0.342889,0.428094,0.23144499999999998,0.434109,0.376705,0.330025,0.330217,0.30985300000000005,0.476529,0.44034399999999996,0.095752,0.204407,0.091206,0.20596799999999998,0.266746,0.128388
37,02.01.2016 13:00,0.321241,0.407823,0.44116400000000006,0.274359,0.30904,0.44655500000000004,0.211831,0.41240299999999996,0.282529,0.337469,0.320376,0.249784,0.43931099999999995,0.480915,0.102977,0.26607,0.086328,0.269851,0.30432,0.160992
