,time,BM1,BM2,BM3,Hydro2
76,04.01.2016 04:00,0.846701,0.707337,0.673616,0.389868
77,04.01.2016 05:00,0.828525,0.7018449999999999,0.668871,0.591777
78,04.01.2016 06:00,0.818537,0.701296,0.669131,0.5719529999999999
79,04.01.2016 07:00,0.80814,0.697768,0.665079,0.342144
80,04.01.2016 08:00,0.788501,0.686924,0.639405,0.248164
81,04.01.2016 09:00,0.779579,0.68542,0.6400710000000001,0.298825
82,04.01.2016 10:00,0.767339,0.6759890000000001,0.63405,0.281938
83,04.01.2016 11:00,0.761835,0.672198,0.636626,0.353891
84,04.01.2016 12:00,0.770595,0.675237,0.648177,0.195301
85,04.01.2016 13:00,0.7914640000000001,0.701324,0.6480319999999999,0.188693
86,04.01.2016 14:00,0.8102659999999999,0.735356,0.646179,0.189427
87,04.01.2016 15:00,0.8312209999999999,0.766157,0.646497,0.279001
88,04.01.2016 16:00,0.851686,0.794341,0.649798,0.454479
89,04.01.2016 17:00,0.851399,0.793133,0.64508,0.285609
90,04.01.2016 18:00,0.85787,0.811846,0.65385,0.429515
91,04.01.2016 19:00,0.895343,0.8157800000000001,0.666816,0.254772
92,04.01.2016 20:00,0.910434,0.825025,0.6697960000000001,0.19163
93,04.01.2016 21:00,0.9230860000000001,0.8309350000000001,0.690077,0.204112
94,04.01.2016 22:00,0.9354129999999999,0.838247,0.6987220000000001,0.157856
95,04.01.2016 23:00,0.946365,0.8430340000000001,0.715082,0.391336
96,05.01.2016 00:00,0.966541,0.860074,0.7323529999999999,0.372247
97,05.01.2016 01:00,0.981416,0.879149,0.76048,0.38105700000000003
98,05.01.2016 02:00,0.985132,0.891689,0.756271,0.383994
99,05.01.2016 03:00,0.9880530000000001,0.90048,0.7666189999999999,0.367107
100,05.01.2016 04:00,0.991967,0.904473,0.7569060000000001,0.5058739999999999
101,05.01.2016 05:00,0.9767049999999999,0.8966559999999999,0.742513,0.510279
102,05.01.2016 06:00,0.9737809999999999,0.8926879999999999,0.756963,0.338473
103,05.01.2016 07:00,0.945967,0.8724040000000001,0.767483,0.256975
104,05.01.2016 08:00,0.9208069999999999,0.841801,0.751571,0.211454
105,05.01.2016 09:00,0.891432,0.8459559999999999,0.7402920000000001,0.200441
106,05.01.2016 10:00,0.852,0.856095,0.7199939999999999,0.156388
107,05.01.2016 11:00,0.8353510000000001,0.8478469999999999,0.713117,0.15271700000000002
108,05.01.2016 12:00,0.834462,0.8539190000000001,0.723344,0.21806199999999998
109,05.01.2016 13:00,0.86265,0.866226,0.741013,0.208517
110,05.01.2016 14:00,0.914167,0.865081,0.768088,0.365639
111,05.01.2016 15:00,0.943209,0.8645379999999999,0.780357,0.207783
112,05.01.2016 16:00,0.950574,0.864281,0.797217,0.227606
113,05.01.2016 17:00,0.9498059999999999,0.8610180000000001,0.812248,0.38693099999999997
114,05.01.2016 18:00,0.9592700000000001,0.862392,0.812305,0.347283
