time,PV3,PV7,WP4,WP7,BM1,BM2,BM3,Hydro2,lv_rural1,lv_rural2,lv_rural3,lv_semiurb4
1/01/2012 0:00,0,0,0.263,0.346,0.702308,0.661961,0.612549,0.284667,0,0,0,0
1/01/2012 1:00,0,0,0.27,0.391,0.703009,0.662815,0.600935,0.37812,0,0,0,0
1/01/2012 2:00,0,0,0.292,0.469,0.695486,0.652981,0.592809,0.509545,0,0,0,0
1/01/2012 3:00,0,0,0.321,0.539,0.68103,0.651079,0.583338,0.374449,0,0,0,0
1/01/2012 4:00,0,0,0.368,0.604,0.670365,0.634687,0.571658,0.38326,0,0,0,0
1/01/2012 5:00,0,0,0.427,0.696,0.660418,0.623926,0.565799,0.375184,0,0,0,0
1/01/2012 6:00,0,0,0.502,0.741,0.657571,0.59251,0.559759,0.295888,0,0,0,0
1/01/2012 7:00,0,0,0.533,0.738,0.645678,0.559691,0.54759,0.228341,0,0,0,0
1/01/2012 8:00,0.002,0.003,0.569,0.757,0.634762,0.56838,0.565853,0.228341,0.002548634,0.002284732,0.002803699,0.004
1/01/2012 9:00,0.008,0.01,0.584,0.766,0.630439,0.593821,0.585232,0.226872,0.010587336,0.008636864,0.010846407,0.017
1/01/2012 10:00,0.087,0.046,0.585,0.78,0.646573,0.614558,0.600322,0.214391,0.041439929,0.071888588,0.072089174,0.048
1/01/2012 11:00,0.072,0.026,0.606,0.776,0.645583,0.616379,0.606597,0.216593,0.054289433,0.055869328,0.053735542,0.051
1/01/2012 12:00,0.016,0.026,0.655,0.804,0.650783,0.615025,0.60836,0.229809,0.036126727,0.02059972,0.023430904,0.035
1/01/2012 13:00,0.01,0.008,0.593,0.705,0.657623,0.615698,0.62137,0.406755,0.014496821,0.009228336,0.008983242,0.015
1/01/2012 14:00,0.002,0.002,0.53,0.703,0.648467,0.609871,0.618598,0.268722,0.004237068,0.002,0.002,0.004
1/01/2012 15:00,0,0,0.533,0.703,0.656889,0.614945,0.618853,0.324523,0,0,0,0
1/01/2012 16:00,0,0,0.479,0.648,0.651405,0.615747,0.631185,0.145374,0,0,0,0
1/01/2012 17:00,0,0,0.473,0.713,0.641526,0.609544,0.647458,0.279736,0,0,0,0
1/01/2012 18:00,0,0,0.546,0.788,0.644313,0.605678,0.651242,0.165198,0,0,0,0
1/01/2012 19:00,0,0,0.633,0.819,0.648776,0.61026,0.649407,0.157122,0,0,0,0
1/01/2012 20:00,0,0,0.663,0.797,0.635205,0.605023,0.628113,0.16373,0,0,0,0
1/01/2012 21:00,0,0,0.623,0.814,0.631827,0.604734,0.613793,0.156388,0,0,0,0
1/01/2012 22:00,0,0,0.718,0.889,0.639434,0.627741,0.636166,0.209985,0,0,0,0
1/01/2012 23:00,0,0,0.807,0.941,0.627829,0.658013,0.638383,0.368576,0,0,0,0
2/01/2012 0:00,0,0,0.876,0.979,0.642915,0.701624,0.65777,0.375918,0,0,0,0
2/01/2012 1:00,0,0,0.923,0.986,0.647381,0.719696,0.664662,0.593979,0,0,0,0
2/01/2012 2:00,0,0,0.936,0.982,0.653834,0.724035,0.66111,0.596182,0,0,0,0
2/01/2012 3:00,0,0,0.913,0.957,0.65953,0.705911,0.655319,0.601322,0,0,0,0
2/01/2012 4:00,0,0,0.829,0.916,0.670698,0.682447,0.662114,0.591043,0,0,0,0
2/01/2012 5:00,0,0,0.769,0.845,0.661298,0.652335,0.668172,0.490455,0,0,0,0
2/01/2012 6:00,0,0,0.674,0.774,0.636439,0.62279,0.639777,0.222467,0,0,0,0
2/01/2012 7:00,0,0,0.562,0.723,0.6185,0.60439,0.631379,0.367107,0,0,0,0
2/01/2012 8:00,0,0,0.473,0.658,0.644332,0.615924,0.642517,0.234949,0,0,0,0
2/01/2012 9:00,0.003,0.002,0.404,0.637,0.653503,0.626582,0.659063,0.24743,0.002763051,0.002647868,0.002598308,0.003
2/01/2012 10:00,0.034,0.033,0.418,0.617,0.655197,0.635813,0.663382,0.24743,0.04181548,0.033176068,0.03210469,0.041
2/01/2012 11:00,0.042,0.053,0.42,0.553,0.677461,0.633147,0.645613,0.181351,0.068253637,0.044862452,0.043423129,0.068
2/01/2012 12:00,0.026,0.046,0.383,0.479,0.666363,0.643444,0.637392,0.316446,0.1114675,0.03284044,0.033393718,0.131
2/01/2012 13:00,0.02,0.027,0.353,0.515,0.687344,0.652391,0.666247,0.367841,0.015586155,0.022397524,0.02259847,0.018
2/01/2012 14:00,0.006,0.009,0.365,0.584,0.700343,0.647574,0.678903,0.278267,0.004644585,0.007056396,0.007205076,0.005
2/01/2012 15:00,0,0,0.4,0.616,0.723691,0.665832,0.6678,0.338473,0,0,0,0
2/01/2012 16:00,0,0,0.429,0.609,0.712939,0.666063,0.664739,0.236417,0,0,0,0
2/01/2012 17:00,0,0,0.416,0.608,0.716871,0.666685,0.68264,0.23862,0,0,0,0
2/01/2012 18:00,0,0,0.438,0.687,0.721578,0.66447,0.702678,0.242291,0,0,0,0
2/01/2012 19:00,0,0,0.487,0.741,0.72971,0.662989,0.714984,0.222467,0,0,0,0
2/01/2012 20:00,0,0,0.563,0.752,0.699151,0.642609,0.698868,0.180617,0,0,0,0
