time,PV3,PV7,WP4,WP7,BM1,BM2,BM3,Hydro2,lv_rural1,lv_rural2,lv_rural3,lv_semiurb4
2010-01-02 18:00:00,0.0,0.0,0.127,0.127,0.7215779999999999,0.66447,0.702678,0.242291,0.0,0.0,0.0,0.0
2010-01-02 19:00:00,0.0,0.0,0.11599999999999999,0.135,0.7297100000000001,0.662989,0.7149840000000001,0.222467,0.0,0.0,0.0,0.0
2010-01-02 20:00:00,0.0,0.0,0.102,0.133,0.699151,0.642609,0.698868,0.180617,0.0,0.0,0.0,0.0
2010-01-02 21:00:00,0.0,0.0,0.103,0.136,0.69655,0.634734,0.689247,0.198238,0.0,0.0,0.0,0.0
2010-01-02 22:00:00,0.0,0.0,0.121,0.156,0.7037680000000001,0.642213,0.702623,0.489721,0.0,0.0,0.0,0.0
2010-01-02 23:00:00,0.0,0.0,0.138,0.19399999999999998,0.712713,0.6553260000000001,0.711268,0.370044,0.0,0.0,0.0,0.0
2010-01-03 00:00:00,0.0,0.0,0.147,0.22899999999999998,0.74485,0.658279,0.7390220000000001,0.372247,0.0,0.0,0.0,0.0
2010-01-03 01:00:00,0.0,0.0,0.147,0.251,0.753792,0.67732,0.757252,0.377386,0.0,0.0,0.0,0.0
2010-01-03 02:00:00,0.0,0.0,0.152,0.28300000000000003,0.77408,0.702481,0.75235,0.367841,0.0,0.0,0.0,0.0
2010-01-03 03:00:00,0.0,0.0,0.166,0.321,0.764976,0.699012,0.761085,0.370778,0.0,0.0,0.0,0.0
2010-01-03 04:00:00,0.0,0.0,0.193,0.36700000000000005,0.775145,0.703232,0.770422,0.375184,0.0,0.0,0.0,0.0
2010-01-03 05:00:00,0.0,0.0,0.206,0.39299999999999996,0.767887,0.709505,0.7761819999999999,0.529369,0.0,0.0,0.0,0.0
2010-01-03 06:00:00,0.0,0.0,0.206,0.397,0.748081,0.717191,0.800552,0.225404,0.0,0.0,0.0,0.0
2010-01-03 07:00:00,0.0,0.0,0.19399999999999998,0.38,0.745167,0.7112390000000001,0.787667,0.235683,0.0,0.0,0.0,0.0
