2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0008815170000000001,0.0037270339999999997,0.0037270339999999997,0.001274317,0.002548634,0.001667117,0.015668119,0.012616302
0.0001185,0.000237,0.005430185,0.018166253,0.018284753,0.010082636,0.010587336000000001,0.011764218999999998,0.065096231,0.066433997
0.023769255,0.019488538,0.037482495,0.169510845,0.17002214499999999,0.07419790500000001,0.04143992900000001,0.059664046,0.067598452,0.085696956
0.026399089,0.037838246000000006,0.016540754999999997,0.189843578,0.190473378,0.094457828,0.054289433,0.056493467000000006,0.10237143,0.148219719
0.012436653,0.020933874000000005,0.015422237999999998,0.09016112800000001,0.091161145,0.095420796,0.036126727000000004,0.030119009999999998,0.23121120699999997,0.21646828399999998
0.000237,0.0,0.0008294999999999998,0.006000102,0.006000102,0.011155987000000001,0.014496821,0.0031185510000000002,0.324143522,0.23659140199999995
0.0,0.0,0.0001185,0.001000017,0.001000017,0.002881551,0.004237068,0.0,0.111528919,0.014459520999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
