2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.010882128000000001,0.0,0.0,0.0,0.0,0.0028036990000000006,0.014070998000000003,0.037413314999999996,0.073710574
0.0060591510000000005,0.028005520999999995,0.001188318,0.002615066,0.002615066,0.0,0.010846406999999999,0.03729248000000001,0.18581610200000004,0.256948154
0.046473709,0.24335579400000001,0.030134277,0.053694265000000005,0.053694265000000005,0.023473027999999996,0.072089174,0.13684791799999999,0.296400231,0.26005999799999996
0.068637536,0.209442137,0.038150822,0.047045942,0.047045942,0.047559092000000004,0.053735542,0.07689633300000001,0.331413021,0.356151742
0.10463715500000001,0.228557436,0.034184324,0.035234112,0.035234112,0.052260557000000006,0.023430904000000002,0.076821119,0.385152723,0.362605376
0.059649689,0.039799492,0.021146665999999998,0.031940942,0.031940942,0.032100812,0.008983242,0.03303334000000001,0.328987794,0.252319203
0.024657092999999998,0.022874558,0.00718002,0.011794762,0.011794762,0.011836900000000001,0.002,0.011661022,0.176656858,0.161606223
0.0,0.007744812000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.001539736,0.000384934
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
